"","V1","sgBaseDiffb","sg102Diffb","sg113Diffb","sg130Diffb","sg103Diffb","sg91Diffb"
"155",1046,-1.68424427165686e-05,-1.90810743258296e-05,-2.44027146125048e-05,-2.45271434082623e-05,-2.67098092272917e-05,-4.43249058633676e-05
"156",1045,-1.62338826674491e-05,-1.25961063024e-05,-1.46597768975391e-05,-2.14636955895697e-05,-8.97082715264543e-06,-3.40369808901278e-05
"157",1044,-6.73491232931793e-06,-6.42139523258409e-06,-3.08518210616113e-06,-1.33752805081477e-05,8.19382637564467e-07,-1.57198667688178e-05
"158",1043,-2.19842317744417e-06,4.75926559842639e-06,3.49759021087691e-06,-4.34685749371064e-06,1.05188517775931e-05,2.17342874685539e-06
"159",1042,3.18081297102276e-06,9.63861313511663e-06,7.83358056085328e-06,6.17905792730971e-06,1.72879956096739e-05,1.02661906857711e-05
"160",1041,1.05764476393847e-05,1.82062692552203e-05,1.25048222950321e-05,1.21217554783988e-05,1.22211898435675e-05,1.77471324324471e-05
"161",1040,1.30976249857369e-05,1.71793241723312e-05,1.5402546171777e-05,1.26765231660337e-05,5.05811205111905e-06,1.54932868219581e-05
"162",1039,1.38697355480572e-05,1.00792758135415e-05,1.17924810232503e-05,1.1796827880744e-05,-5.33305078759624e-06,6.49311838123031e-06
"163",1038,9.88692736944486e-06,5.66178188555811e-06,6.67405632440598e-06,8.83009764128647e-06,-8.9099711477334e-06,2.9928113844197e-06
"164",1037,6.57027510174365e-06,-1.45891404632662e-06,6.12037535114457e-06,4.79295374400268e-06,-9.65491385071805e-06,-1.50890290750424e-06
"165",1036,1.62029113078064e-06,-7.66948669046576e-06,5.39499350688162e-06,6.55777788644921e-06,1.47956161942174e-06,-1.93978515656949e-07
"166",1035,-6.84086698072713e-06,-1.10002662450214e-05,3.14766818263322e-06,1.39316782673426e-06,6.47518759406873e-06,5.41075086529627e-06
"167",1034,-8.69914855928843e-06,-1.11252383979657e-05,1.12474937649767e-07,-3.55681614422874e-06,9.9907085921072e-06,1.19560315364512e-05
"168",1033,-1.09274563820019e-05,-7.01419792328888e-06,-3.41119641818943e-06,-5.79273096755614e-06,1.44744920968697e-05,1.16783760140404e-05
"169",1032,-9.86790986790988e-06,-5.30533957107378e-06,-6.28229579278531e-06,-3.43075727691111e-06,1.16463179400243e-05,9.72555028499085e-06
"170",1031,-5.08582326764146e-06,-2.3141582582142e-06,-6.51811281181911e-06,-5.06137219423933e-06,2.57714313658372e-06,3.06453453306604e-06
"171",1030,-3.09170239240172e-07,-1.03237865475642e-07,-7.07016371352037e-06,-3.68396172591979e-06,-4.73644459658446e-06,-1.04368048423993e-05
"172",1029,2.28807711325194e-06,2.59453056655851e-06,-5.53028944637337e-06,-5.70525046049684e-08,-1.33633266500399e-05,-1.70608723056276e-05
"173",1028,4.80110410180341e-06,1.1232823120935e-05,-6.29207622214624e-07,7.5906998983922e-06,-1.29177737569346e-05,-1.68706972902778e-05
"174",1027,5.81935546970513e-06,1.16071962225808e-05,8.69806184491499e-06,1.94233893534593e-05,-6.4865980949897e-06,-1.11274118267125e-05
"175",1026,7.85966170581555e-06,1.09491906694704e-05,1.56149988317821e-05,2.42288403127564e-05,7.35705630810527e-06,1.58279948489728e-06
"176",1025,6.3681462282861e-06,1.0076559027608e-05,1.82606049738917e-05,2.40756135861031e-05,1.30617634114138e-05,1.46402160388175e-05
"177",1024,5.79001418162258e-06,9.51961791122632e-06,1.97494036654876e-05,1.81111817475454e-05,1.69625246548324e-05,2.54611744122234e-05
"178",1023,4.20395455360491e-06,5.59386223721891e-06,1.62338826674491e-05,1.11393656848202e-05,1.84915317782451e-05,2.74927869333465e-05
"179",1022,-2.57007949315634e-07,-4.44574850169254e-06,4.9146657538266e-06,1.00195065230031e-06,1.41528246423351e-05,2.47575268554289e-05
